Math Vocabulary,Theorems,Mathematical Concepts,Jargon

"feedback" "improvements via github.com, which greatly improved"
"probability distributions","To describe properties of probability distributions (expected values and spread)."
"Negative log-likelihood","as a function of the algorithm converges and returns this GMM."
"EM algorithm","applied to the GMM from."
"GMM","Gaussian Mixture Models."
"mixture weights","updated in a GMM."
"Density Estimation","with Gaussian Mixture Models."
"weight parameter updates","the mixture weights are updated as follows."
"mixture weights","prior to updating the mixture weights."
"mixture weights","after updating the mixture weights."
"means and variances","retaining the means and variances."
"Multivariate random variable","A random variable that has multiple dimensions or components."
"Variance","Describes the relation between individual dimensions of a random variable."
"Covariance","A measure of how much two random variables change together."
"Covariance matrix","A matrix that contains the covariances between pairs of random variables."
"Symmetric matrix","A matrix that is equal to its transpose."
"Positive semidefinite","A property of a matrix that indicates it does not have negative eigenvalues."
"Marginals","The variances of the individual components within a multivariate distribution."
"orthogonal projection","the projection of a vector onto a subspace such that the difference between the vector and its projection is orthogonal to that subspace."
"subspace","a mathematical space that is a subset of a larger space, which follows the same properties."
"coordinates","a set of values that define a point in a given coordinate system."
"orthonormal basis","a basis consisting of vectors that are both orthogonal and normalized to unit length."
"principal subspace","the subspace that contains the most significant features of the data, typically found using techniques like PCA."
"dimensional","relating to the number of dimensions in a space or a subspace."
"basis vectors","vectors that define a vector space through linear combinations."
"Bayes’ theorem","allows us to invert the relationship between x and y given by the likelihood."
"posterior distribution","the quantity of interest as it encapsulates all available information from the prior and the data."
"statistic of the posterior","such as the maximum of the posterior."
"loss of information","focusing on some statistic of the posterior leads to loss of information."
"decision-making system","the posterior can be used within a decision-making system."
"model-based reinforcement learning","the context in which Deisenroth et al. (2015) show that using."
"multivariate random variables","a finite vector of univariate random variables [X),...,X pli."
"expected value","the integral with respect to the probability density (for continuous distributions) or the sum over all states (for discrete distributions)."
"mean","a special case of the expected value, obtained by choosing g to be the identity function."
"t-variable","latent variable z can attain only a finite set of values."
"latent variable","PCA, where the latent variables were continuous-valued numbers in R™."
"probabilistic perspective","justifies some ad hoc decisions made in the previous sections."
"posterior probabilities","concrete interpretation of the responsibilities."
"iterative algorithm","updating the model parameters derived in a principled manner as the EM algorithm for maximum likelihood parameter estimation."
"EM algorithm","maximum likelihood parameter estimation in latent-variable models."
"generative process","the process that allows us to generate data, using a probabilistic model."
"mixture model","assume a mixture model with kK components."
"binary indicator","used to signify that a data point can be generated by exactly one mixture component."
"jective function","a function that summarizes the performance of a model on the training set by calculating the total loss for all examples."
"convex conjugate","a function derived from another function that provides insights into its properties, particularly in optimization."
"dot product","an algebraic operation that takes two equal-length sequences of numbers and returns a single number, often used in the context of vectors."
"Legendre transform","a mathematical transformation relating two sets of variables, typically used in physics to switch between energy representations."
"Legendre-Fenchel transform","a specific case of the Legendre transform that applies to convex functions."
"dual optimization problem","an optimization problem derived from the primal problem that seeks to find its maximum or minimum in a different variable space."
"quadratic programming","a type of mathematical optimization problem where the objective function is quadratic and the constraints are linear."
"multipliers","corresponding to the inequality constraints in (7.28) to be non-negative"
"La-Grange multipliers","corresponding to the equality constraints unconstrained"
"Convex Optimization","a particularly useful class of optimization problems, where we can guarantee global optimality"
"convex function","when f(-) is a convex function"
"convex sets","when the constraints involving g(-) and h(-) are convex sets"
"strong duality","The optimal solution of the dual problem is the same as the optimal solution of the primal problem"
"convex set","a set C is a convex set if for any x, y € C and for any scalar 6 with 0 < 6 < 1"
"straight line","connecting any two points in a convex set"
"variance","the variance of the measurement noise: When we predict noisy function values, we need to include o? as a source of uncertainty, but this term is not needed for noise-free predictions."
"parameter posterior","the only remaining uncertainty stems from the parameter posterior."
"distribution over functions","the fact that we integrate out the parameters @ induces a distribution over functions."
"mean function","the mean function, i.e., the set of all expected function values Eo[f(-)|0,%,¥], of this distribution over functions is m}-¢(-)."
"variance of the function","the (marginal) variance, i.e., the variance of the function f(-), is given by $'()Sv(-)-."
"Bayesian linear regression","Let us revisit the Bayesian linear regression problem with polynomials of degree 5."
"parameter prior","We choose a parameter prior p(@) = \’(0, +1)."
"orthogonal projection","the projection of a vector onto a subspace that is perpendicular to that subspace."
"margin","the distance of the separating hyperplane to the closest examples in the dataset, assuming the dataset is linearly separable."
"separating hyperplane","a hyperplane used to separate different classes in a dataset."
"linearly separable","a term describing a dataset that can be perfectly separated by a hyperplane."
"scale","a method or system of measurement, relevant here to how distance is measured."
"hyperplane","a flat affine subspace of one dimension less than its ambient space, commonly used in classification tasks."
"example","a specific instance or data point in the dataset, often denoted by x."
"hypothesis class of functions","a set of functions used to represent the mapping from input data to output in supervised learning."
"supervised learning setting","a machine learning framework where a model is trained on labeled data."
"predictor","a function that generates outputs based on input data and model parameters."
"parameter","a variable that defines a model's structure and behavior in mathematical functions."
"empirical risk minimization","a strategy in statistical learning to minimize the difference between predicted and actual outcomes."
"loss function","a mathematical function that quantifies the cost associated with a prediction error."
"ordinary least-squares regression","a statistical method used to estimate the parameters of a linear regression model by minimizing the sum of the squares of the residuals."
"PCA","A method involving linear dimensionality reduction and data representation via orthogonal transformation."
"Bayesian treatment","A statistical approach for inference that incorporates prior beliefs and updates them with evidence."
"Marginalizing","The process of integrating out certain variables in a probabilistic model."
"Latent variable","A variable that is not directly observed but is inferred from other variables."
"Probabilistic PCA (PPCA)","A version of PCA that incorporates probabilistic principles, introduced by Tipping and Bishop."
"Maximum likelihood estimation","A method for estimating the parameters of a statistical model that maximizes the likelihood function."
"Standard-normal prior","A prior probability distribution for a latent variable that follows a normal distribution with mean 0 and variance 1."
"Linear relationship","A relationship in which a change in one variable results in a proportional change in another."
"Backpropagation","A method used in machine learning to compute the gradient of the loss function with respect to the weights of the network."
"Automatic Differentiation","A technique to evaluate the derivative of a function specified by a computer program."
"Computation Graph","A representation of the computations performed, where nodes represent operations and edges represent the flow of data."
"Chain Rule","A formula in calculus for computing the derivative of the composition of two or more functions."
"Derivative","A measure of how a function changes as its input changes, indicating the rate of change of the function."
"Elementary Functions","Basic functions such as polynomials, exponentials, and trigonometric functions that are used in calculus."
"Gradient","A vector containing the partial derivatives of a function with respect to its variables, indicating the direction of steepest ascent."
"maximum likelihood estimation","A method for estimating the parameters of a probabilistic model, which aims to maximize the likelihood function."
"probabilistic models","Statistical models that incorporate randomness and are used to describe uncertain events and outcomes."
"method of moments","A technique for estimating parameters by equating sample moments to theoretical moments."
"parameter estimation","The process of determining the parameters of a statistical model based on observed data."
"overfitting","A modeling error that occurs when a model is excessively complex, capturing noise instead of the underlying pattern."
"underfitting","A modeling error that occurs when a model is too simple to capture the underlying structure of the data."
"generative process","The underlying process that is believed to have generated the observed data in a probabilistic model."
"latent space","the space in which latent variables exist and influence generated images, leading to variations in shape, rotation, and size."
"intrinsic dimensionality","a measure of the minimum number of parameters needed to represent a dataset, here indicated as two for the generated images."
"probabilistic PCA","a statistical method that models observations based on latent variables and assumes a Gaussian distribution."
"latent variables","unobserved variables that underpin and influence the observed data in a probabilistic model."
"model parameters","the parameters, denoted as B, which define the model structure and are consistent across the dataset."
"likelihood parameter","a parameter, denoted as o, that represents the likelihood of the observations given the model parameters in the dataset."
"generate new data","the process of creating new data points from the latent variables, expressed as & = Bz."
"training data","the dataset used to train a model, influencing the realism of the generated data."
"parameter vector","a vector indicating direction, considered as a geometric vector."
"example vector","a vector representing a data point, described by its coordinates."
"hyperplane","a mathematical concept that represents a flat affine subspace of one dimension less than its ambient space."
"classify","to assign categories (like positive or negative) to elements based on certain criteria."
"positive examples","examples that lie above the hyperplane during classification."
"negative examples","examples that lie below the hyperplane during classification."
"heads","parameter of a Bernoulli distribution"
"Bernoulli distribution","p(x | j) = Ber(j)"
"dataset","specific dataset VY"
"coin-flip experiments","observed outcomes of coin-flip experiments"
"probabilistic modeling","used for learning from observed outcomes"
"probability distributions","uncertain aspects of an experiment represented"
"probability theory","set of tools for modeling, inference, prediction, and model selection"
"joint distribution","p(a, 0) of the observed variables x and the hidden parameters @"
"expected likelihood","under the prior, i.e., Eo (p()’ |, 8)"
"Linear Regression","a statistical method for modeling the relationship between a dependent variable and one or more independent variables."
"marginal likelihood","the likelihood of the observed data averaged over the possible values of the model parameters."
"Bayesian model selection","a method for selecting models based on their posterior probabilities, integrating over prior beliefs and data evidence."
"generative process","a stochastic process that describes how data is generated in a model."
"conjugate Gaussian prior","a prior distribution that is Gaussian, which is mathematically convenient because it allows for easy updating with new evidence."
"marginal likelihood is Gaussian","indicates that the marginal likelihood can be expressed as a Gaussian distribution in terms of the response variable."
"mean and covariance","statistical measures that describe the central tendency and dispersion of a probability distribution."
"mean","to calculate the mean"
"variance","a sum of pairwise differences between all pairs of observations"
"bias—variance decomposition","a concept in machine learning related to the variance"
"observations","realizations of random variable X"
"empirical variance","the sum of pairwise differences is the empirical variance of the observations"
"pairwise differences","squared difference between pairs of x; and x;"
"deviations from the mean","a sum of deviations from the mean"
"geometrically","a mean related explanation in geometric terms"
"directed graphical model","A probabilistic model that specifies dependencies between random variables visually."
"graphical model","A model that visually captures the decomposition of the joint distribution over random variables into a product of factors."
"joint distribution","The distribution that represents the probability of a set of random variables simultaneously."
"prior","Information about a random variable before observing any data."
"likelihood","The probability of observing the data given a set of parameters in a probabilistic model."
"posterior","The updated probability of a random variable after observing data."
"independence relations","The relationships that indicate when two random variables do not influence each other."
"conditional independence","A property where a random variable is independent of another random variable given a third random variable."
"one-hot encoding","a binary representation of categorical variables where only one category is represented by a 1 and all others by 0."
"K","number of possible configurations or settings of the variable z."
"configuration","a specific arrangement of values for a variable, in this case, the nonzero entry of the z-vector."
"marginal distribution","the probability distribution of a subset of a collection of random variables."
"GMM model","Gaussian Mixture Model; a probabilistic model that assumes all data points are generated from a mixture of several Gaussian distributions."
"likelihood","the probability of the observed data under a statistical model."
"positive side of the hyperplane","itive labels are on the positive side of the hyperplane, i.e., (w,a,)+b>0 when y, = +1"
"negative side of the hyperplane","examples with negative labels are on the negative side, i.e., (w,a,)+b<0 when y, =—1"
"separating hyperplane","Equation (12.7) is equivalent to (12.5) and (12.6) when we multiply both sides of (12.5) and (12.6) with y,, = 1 and y,, = —1, respectively."
"linear classifiers","There are many linear classifiers (green lines) that separate orange crosses from blue discs."
"orthogonal","w is orthogonal to any vector on the hyperplane."
"margins","A classifier with large margi"
"marginal likelihood","p(Y|X) = (2m) det(XS)X? + 02I)-2 -exp (— 3(y— Xmo)'(XS)X' +07D)'(y — Xmo)"
"Maximum Likelihood","The maximum likelihood solution to a linear regression problem finds a subspace onto which the overall projection error of the observations is minimized."
"Orthogonal Projection","The orange dots are the projections of the noisy observations onto the line 0.2."
"Regression dataset","A dataset consisting of noisy observations y of function values at input locations xp."
"automatic differentiation","Different from symbolic differentiation and numerical approximations of the gradient, e.g., by using finite differences."
"Jacobian","Can be vectors, matrices, or tensors."
"reverse mode","A method of automatic differentiation that is often used in the context of neural networks."
"forward mode","A method of automatic differentiation that is computationally more expensive than the reverse mode."
"intermediate variables","Variables like a, b, c, d, e used in a computation graph."
"computation graph","Graph that includes inputs, function values, and intermediate variables."
"backpropagation","The reverse mode of automatic differentiation used in neural networks."
"input dimensionality","Often much higher than the dimensionality of the labels in neural networks."
"label dimensionality","Often lower than the input dimensionality in neural networks."
"function","An expression that takes an input and produces an output, represented here as f(x) = \/a? + exp(x?) + cos (a? + exp(x”))."
"random variables","variables whose values are subject to randomness."
"factorization","the expression of a joint distribution as a product of conditional distributions."
"directed graphical model","a graphical representation of a set of random variables and their conditional dependencies via directed edges."
"conditional distribution","the probability distribution of a subset of random variables conditioned on the values of other variables."
"nodes","the points in a graph that represent random variables."
"directed link","an arrow in a graphical model indicating a dependency from one variable to another."
"joint distribution","a probability distribution that defines the likelihood of different outcomes for multiple random variables."
"predictor","a function that, when given a particular input example, produces an output."
"output","the result produced by the predictor, considered to be a single number (a real-valued scalar output)."
"input example","the data (in this case, a vector of features) fed into the predictor."
"vector","a mathematical representation that can contain multiple values or features."
"real-valued scalar output","a numerical output that is a single real number."
"D-dimensional","refers to a vector that has D features."  
"function","a mathematical relation that maps input(s) to an output."
"convex","if and only if for any two points «, y it holds that fy) > fw) + Vela)" (y- 2)."
"twice differentiable","a function f(a) is twice differentiable, that is, the Hessian exists for all values in the domain of «."
"Hessian","the matrix of second derivatives used to determine the local curvature of a function."
"positive semidefinite","the function f(a) is convex if and only if V2 f(a) is positive semidefinite."
"negative entropy","The negative entropy f(x) = x log, x is convex for x > 0."
"convexity","to illustrate the previous definitions of convexity, let us check the calculations for two points x = 2 and x = 4."
"differentiable","Since f(x) is differentiable."
"maximize D(A)","Maximizing the function D(A) subject to various constraints."
"derivative","The rate of change of a function with respect to a variable."
"dual optimization problem","An optimization problem that is derived from the primal problem, often providing bounds on the value of the solution."
"max —b'X (7.43)","Expresses the maximization objective for the dual problem."
"linear program","A mathematical optimization problem in which the objective function and constraints are linear."
"primal","The original optimization problem before forming its dual."
"dual","The optimization problem derived from the primal by switching the roles of the objective function and constraints."
"Jensen’s inequality","A fundamental inequality in convex analysis related to expectations of convex functions."
"convex optimization problem","An optimization problem where the objective function is convex and the feasible region is a convex set."
"Quadratic Programming","A special type of mathematical optimization problem where the objective function is quadratic and the constraints are linear."
"objective function","The function that is being minimized or maximized in an optimization problem."
"affine","A function that is a linear transformation followed by a translation."
"positive definite","A property of a matrix indicating that all its eigenvalues are positive, ensuring a unique minimum in optimization."
"square symmetric matrix","A matrix that is equal to its transpose and has the same number of rows and columns."
"Rix(MxN)","A matrix of dimension MxN."
"Gradient","The direction and rate of fastest increase of a function."
"Tensor","A mathematical object that generalizes scalars, vectors, and matrices."
"Dot product","An algebraic operation that takes two equal-length sequences of numbers and returns a single number."
"Partial derivative","The derivative of a function with respect to one variable while holding the others constant."
"Dimension","The number of independent parameters or coordinates needed to specify a point in a space."
"Entry","An individual element within a matrix."
"Matrix","A rectangular array of numbers or other mathematical objects for which operations such as addition and multiplication are defined."
"maximin","is less than the minimax, i-e., max min y(a, y) < minmax y(a, y)."
"minimax inequality","says that for any function with two arguments (a, y), maximin is less than minimax."
"Weak duality","uses (7.23) to show that primal values."  
"Constrained Optimization","refers to optimization problems with constraints on the variables."
"Lagrange Multipliers","a method for finding the local maxima and minima of a function subject to equality constraints."
"responsibilities","are a function of 7j, Mj, 44 for all j = 1,...,4"
"GMM","Gaussian Mixture Model"
"linear regression","a statistical method for modeling the relationship between a dependent variable and one or more independent variables"
"PCA","Principal Component Analysis"
"mean parameter","the average value of mixture component in a GMM"
"weights","the values given by corresponding responsibilities"
"maximum likelihood","a method for estimating the parameters of a statistical model"
"variances","a measure of the dispersion indicating how much the values in a set differ from the mean"
"mixture weights","the proportions of each component in a mixture model"
"PCA","We derived PCA from two perspectives: (a) maximizing the variance in the projected space; (b) minimizing the average reconstruction error."
"latent variables","Variables that are not directly observed but are inferred from other variables that are observed."
"posterior distribution","The distribution of an unknown quantity, updated to include new data."
"high-dimensional data","Data that exists in a space with many dimensions."
"lower-dimensional representation","A simplified version of high-dimensional data that retains essential features."
"covariance matrix","A matrix that provides a measure of how much variables change together."
"eigenvectors","Vectors that do not change direction during a linear transformation."
"eigenvalues","Scalars that indicate the magnitude of the eigenvectors."
"projection matrix","A matrix that transforms a higher dimension into a lower dimension while retaining structure."
"Theorem 11.3","Identifies the mixture weight as the ratio of the total responsibility of the kth cluster and the number of data points."
"mixture weight","The ratio of the total responsibility of the kth cluster and the number of data points."
"N","Represents the total number of data points."
"responsibility","The total weight assigned to a specific cluster in a mixture model."
"mixture components","The distinct clusters or groups in a mixture model."
"relative importance","The significance of a kth mixture component for the dataset."
"update equation","An equation used to adjust mixture weights based on cluster responsibilities."
"EM Algorithm","A general iterative scheme for learning parameters in mixture models and latent-variable models."
"Gaussian mixture model","A model that assumes all data points are generated from a mixture of several Gaussian distributions."
"GMM","Gaussian mixture model with N data points."
"Posterior Distribution","Distribution of latent variable z according to Bayes’ theorem."
"Latent Variable","A variable that is not directly observed but is inferred from other variables."
"Bayes’ Theorem","A mathematical formula used to determine conditional probabilities."
"Responsibility","The contribution of the kth mixture component for a specific data point."
"plane","a flat, two-dimensional surface that extends infinitely in all directions."
"orthogonal projection" ,"the process of dropping a perpendicular from a point to a line or plane."
"hyperplane" ,"a subspace of one dimension less than its ambient space, typically used in classification."
"linear separability" ,"a condition where data points can be separated by a straight line or hyperplane."
"margin" ,"the distance between the hyperplane and the closest data points from either class."
"distance" ,"a measure of the space between two points."
"Support Vector Machines" ,"a supervised machine learning model used for classification and regression."
"r" ,"a value representing the distance of the closest example to the hyperplane."
"scale" ,"to adjust the size or magnitude of data points in relation to the hyperplane."
"loss function","The loss corresponding to the hard margin SVM is defined as a function that evaluates the error in predictions."
"zero-one loss","A type of loss function that assigns a loss of 0 for correct predictions and 1 for incorrect predictions."
"hinge loss","A specific loss function used in SVMs that calculates the error based on the margin between predicted and actual values."
"negative log-likelihood","A function used to estimate parameters in statistical models that is minimized to find the best fit."
"squared error function","The loss function that is minimized when looking for the maximum likelihood solution, representing the average squared difference between predicted and actual values."
"primal SVM","The description of the SVM in terms of the variables w and b." 
"optimization problem","A mathematical problem that seeks to maximize or minimize a function by selecting input values from a allowed set."
"eigenvector","we recover Xc,,, aS an eigenvector of S."
"PCA" ,"we want to apply the PCA algorithm that we discussed in Section 10.6"
"covariance matrix" ,"we recover the data covariance matrix again."
"norm" ,"we need to normalize the eigenvectors Xc,,, of S so that they have norm 1."
"mean subtraction" ,"We start by centering the data by computing the mean y of the dataset and subtracting it from every single data point."
"standard deviation" ,"Standardization _ Divide the data points by the standard deviati"
"£(x, A)","overall problem is easy to solve"
"maximization","maximum over a set of affine functions"
"concave function"," The maximum of a concave function can be efficiently computed"
"Lagrange dual problem","found by differentiating the Lagrangian with respect to x"
"differentiating","setting the differential to zero"
"optimal value","solving for the optimal value"
"convex","where f(-) and g;(-) are convex"
"equality constraints","subject to g;(a) <0 for all h(a) =0_ for all"
"weak duality",""
"gradient","terms of its gradient V, f(a)"
"expected value","The expected value is represented as Vx [a] := Ex[(x — p)*]."
"mean","The mean yp is defined as yp = Ex(a)."
"random variable","X is referred to as a discrete or continuous random variable."
"variance","The variance is the mean of a new random variable Z := (X — )?."
"two-pass algorithm","A two-pass algorithm involves one pass to calculate the mean and a second pass to compute the variance."
"raw-score formula for variance","The raw-score formula for variance is given by Vx [2] = Ex[x] — (Ex([2])’. "
"mean of the square minus the square of the mean","The expression in (6.44) is referred to as 'the mean of the square minus the square of the mean'."
"Gaussian distributions","A type of continuous probability distribution for a real-valued random variable characterized by a symmetric bell-shaped curve defined by its mean and variance."
"constrained optimization","A mathematical optimization problem where the solution is subject to constraints or conditions."
"dimensionality reduction","A process of reducing the number of random variables under consideration, obtaining a set of principal variables."
"high-dimensional data","Data that has a large number of input variables or features."
"low-dimensional subspace","A subspace with fewer dimensions compared to the original space in which the data resides."
"one-dimensional subspace","A subspace that contains points that can be represented using a single coordinate."
"PCA","Principal Component Analysis, a statistical method used to reduce the dimensionality of a dataset while preserving its variance."
"empirical risk minimization","the process of minimizing the expected loss of a predictive model by optimizing its parameters."
"affine function","a function that is a linear polynomial; a combination of linear transformations and translations."
"non-linear functions","functions that do not increase or decrease at a constant rate, allowing for more complex relationships between variables."
"neural networks","computational models inspired by human brain networks, used to approximate complex functions and patterns."
"loss function","a method for quantifying how well a model's predictions match the actual data by producing a non-negative error value."
"linear models","A framework for modeling relationships between variables using linear equations."
"dimensionality reduction","The process of reducing the number of random variables under consideration by obtaining a set of principal variables."
"PCA","Principal Component Analysis, a technique used for reducing the dimensionality of data while preserving as much variance as possible."
"D","Represents input dimensionality in the context of dimensionality reduction."
"N","Represents the number of data points in the context of dimensionality reduction."
"inner products","A mathematical operation that combines two vectors to produce a scalar, often used in the context of machine learning and PCA."
"kernel trick","A method used in machine learning to enable algorithms to operate in higher-dimensional spaces by computing inner products of transformed data without explicitly transforming it."
"kernel PCA","A version of Principal Component Analysis that uses the kernel trick for nonlinear dimensionality reduction."
"nonlinear dimensionality reduction","Techniques for reducing dimensions in data that do not assume a linear relationship among variables."
"auto-encoder","A type of artificial neural network used for unsupervised learning of efficient codings." 
"deep auto-encoder","An advanced form of auto-encoder that consists of multiple layers for more complex representations."
"GMM","Gaussian Mixture Model (GMM) is a probabilistic model that assumes that the data is generated from a mixture of several Gaussian distributions with unknown parameters."
"mixture weights","Mixture weights are the coefficients that determine the contribution of each component in a mixture model to the overall density."
"means","Means refer to the average values of each Gaussian component in a mixture model."
"variances","Variances measure the spread or dispersion of each Gaussian component in a mixture model."
"log-likelihood","Log-likelihood is a statistical measure that evaluates how well a model explains the observed data; higher values indicate a better fit."
"dataset","a collection of data points or observations."
"dimension","a measurable extent of a particular kind, such as length, breadth, depth, or height."
"variance","a measure of how much values in a dataset differ from the mean value."
"covariance matrix","a matrix that contains the covariances between pairs of variables in the dataset."
"eigenvalues","values that indicate the scale of the eigenvectors associated with a matrix, particularly in transformation."
"eigenvectors","vectors that remain in the same direction after a linear transformation."
"symmetric matrix","a square matrix that is equal to its transpose."
"spectral theorem","a theorem stating properties of symmetric matrices and their eigenvalues and eigenvectors."
"ONB","orthonormal basis, a set of vectors that are orthogonal and each of unit length."
"principal components","the directions in the feature space along which the data varies the most."
"l independence","as described in Section 6.4.5."
"graphical model","nodes are random variables."
"random variables","The nodes represent the random variables a, b, c."
"edges","represent probabilistic relations between variables, e.g., conditional probabilities."
"conditional probabilities","Relations represented by edges in a graphical model."
"distribution","Not every distribution can be represented in a particular choice of graphical model."
"Probabilistic graphical models","have some convenient properties."
"visualize","a simple way to visualize the structure of a probabilistic model."
"statistical models","can be used to design or motivate new kinds of statistical models."
"conditional independence","Inspection of the graph alone gives us insight into properties, e.g., conditional independence."
"inference and learning","Complex computations for inference and learning in statistical models can be expressed in terms of graphical manipulations."
"Directed graphical models/Bayesian networks","are a method for representing conditional dependencies in a probabilistic model."
"GMM","Gaussian Mixture Model; a probabilistic model for representing the presence of sub-populations within an overall population."
"variances","Measures of how much values in a distribution differ from the mean; in GMM, it refers to the variability of each component."
"density","A function that describes the probability of a random variable taking on a particular value."
"updating","The process of revising model parameters, such as variances, to improve accuracy."
"mixture weights","Coefficients that determine the contribution of each component in a mixture model."
"components","The individual distributions within a Gaussian Mixture Model that combine to form the overall model."
"higher-dimensional representation","using a higher-dimensional representation ¢(a,,) to construct new features as non-linear combinations of the original features."
"feature map","refers to the process discussed in Section 9.2 that leads to a kernel in Section 12.4."
"kernel","related to the feature map and discussed in Section 12.4."
"deep learning methods","methods that learn new good features from the data itself and have been successful in areas such as computer vision, speech recognition, and natural language processing."
"neural networks","a key concept in machine learning that will not be covered in this part of the book."
"backpropagation","a key concept for training neural networks discussed in Section 5.6."
"sample space","the set of all possible outcomes of a random variable."
"target space","the set of possible values that a random variable can take."
"random variable","a variable whose possible values are numerical outcomes of a random phenomenon."
"p(x)","the probability that random variable X has the outcome x."
"discrete random variables","random variables that have a countable number of possible values."
"P(X = x)","the notation representing the probability mass function for discrete random variables."
"probability mass function","the function that gives the probability of discrete outcomes."
"distribution","another term often used to refer to the probability mass function."
"probability density function","the function used for continuous random variables representing the probability per unit."
"cumulative distribution function","the function that gives the probability that a random variable is less than or equal to a certain value."
"probability distribution","a term used for both discrete probability mass functions and continuous probability density functions."
"gradient","A vector that represents the direction and rate of the steepest ascent of a function."
"chain rule","A formula to compute the derivative of a composite function."
"differentiation","The process of finding the derivative of a function."
"linear regression model","A statistical method to model the relationship between a dependent variable and one or more independent variables using a linear equation."
"backpropagation algorithm","An efficient method for computing the gradient of the loss function with respect to the weights of the network in deep learning."
"tational methods","Sampling and variational inference techniques for statistical analysis."
"sampling","A method used to obtain a subset of data from a larger dataset to make inferences."
"variational inference","A technique in Bayesian statistics that approximates probability densities through optimization."
"conditional probabilities","Probabilities that express the likelihood of an event given the occurrence of another event."
"interdependence","A relationship between random variables where the outcome of one affects the outcome of another."
"directed links","Arrows between nodes that indicate the direction of the relationship in a graphical model."
"random variables","Variables whose possible values are outcomes of a random phenomenon."
"conditional probability","The probability of an event given that another event has occurred."
"joint distribution","A probability distribution that describes two or more random variables simultaneously."
"factorization","The process of breaking down a joint distribution into simpler distributions that describe the dependencies among the variables."
"SVM" "The SVM (Support Vector Machine) allows for a geometric way to think about supervised machine learning."
"supervised machine learning" "A type of machine learning that uses labeled data to train models."
"probabilistic models" "Models in which the outputs are uncertain and are described using probability distributions."
"maximum likelihood estimation" "A method used in statistics for estimating the parameters of a model by maximizing the likelihood function."
"Bayesian inference" "A statistical method that applies Bayes' theorem for updating the probability of a hypothesis based on new evidence."
"inner products" "A mathematical operation that combines two vectors to produce a scalar."
"projections" "The process of mapping a vector onto another vector or space."
"optimization problem" "A mathematical problem that seeks to find the best solution from a set of feasible solutions."
"analytic solution" "A solution to a mathematical problem that can be expressed in a closed-form expression."
"sum rule","relates the joint distribution to a marginal distribution."
"joint distribution","contains more than two random variables."
"marginal distribution","resulting in a marginal distribution of potentially more than one random variable."
"random variables","random quantities that can take on different values."
"high-dimensional sum","performing a high-dimensional sum or integral."
"high-dimensional integral","generally computationally hard, in the sense that there is no known polynomial-time algorithm to calculate them exactly."
"independent and identically distributed","iid."
"conditionally independent",""
"inner products","between multivariate random variables can be treated in a similar fashion"
"probability mass","is positive and needs to add up to 1"
"statistical manifold","the space of probability distributions"
"information geometry","the study of the space of probability distributions"
"Kullback-Leibler divergence","a generalization of distances that account for properties of the statistical manifold"
"Euclidean distance","a special case of a metric"
"code","given by z, = B ‘ry, € R” and we are interested in minimizing the average squared error between the data z,, and its reconstruction fy,"
"average squared error","the difference between the actual data and its reconstruction"
"objective function","the same objective function as in (10.29) that we discussed in Section 10.3"
"PCA","we obtain the PCA solution when we minimize the squared auto-encoding loss"
"nonlinear auto-encoder","when we replace the linear mapping of PCA with a nonlinear mapping"
"deep auto-encoder","a prominent example of this is a deep auto-encoder where the linear functions are replaced with deep neural networks"
"encoder","also known as a recognition network or inference network"
"decoder","also called a generator"
"information theory","another interpretation of PCA is related to information theory"
"compressed version","the code as a smaller or compressed version of the original data point"
"likelihood","the likelihood of this probabilistic model by integrating out the latent variable z"
"probabilistic model","a model that incorporates randomness through the use of probability distributions"
"latent variable","a variable that is not directly observed but is inferred from other variables"
"Gaussian distribution","the solution to this integral is a Gaussian distribution with mean"
"mean","expected value of the distribution, calculated as E, [a] [Bz + pw) +E,[e] =p"
"covariance matrix","describes the variance and covariance of multiple random variables, represented as V[a] = V.[Bz+ pw] + V.[e]"
"maximum likelihood estimation","a method used for estimating the parameters of a statistical model"
"MAP estimation","Maximum A Posteriori estimation, another method for estimating the parameters incorporating prior information"
"conditional distribution","the distribution of a random variable given certain conditions or the values of other variables"
"covariance","a measure of how much two random variables change together"
"Gaussian random variable","a random variable that follows a Gaussian (normal) distribution"
"linear transformation","a mathematical operation that maps a vector space onto itself using addition and scalar multiplication"
"regularization","This trade-off is achieved using regularization."
"abduction","Abduction is the process of inference to the best explanation."
"hyperparameter","The choice of the number of components is an example of a hyperparameter."
"model selection","The problem of choosing among different models is called model selection."
"nested cross-validation","Model selection is often done using nested cross-validation."
"Partial Derivative","The partial derivatives of L with respect to the parameters 0; = {.A;, b;} of each layer."
"Chain Rule","The chain rule allows us to determine the partial derivatives."
"Output","The orange terms are partial derivatives of the output of a layer with respect to its inputs."
"Parameters","The blue terms are partial derivatives of the output of a layer with respect to its parameters."
"Backpropagation","Assuming we have already computed the partial derivatives 0L/06;,1."
"Automatic Differentiation","5.6 Backpropagation and Automatic Differentiation."
"Random variables","Two random variables X,Y are statistical objects that can take on different values, governed by probability distributions."
"Statistical independence","Two random variables X,Y are statistically independent if p(x, y) = p(x)p(y)."
"Covariance","Covariance measures the degree to which two random variables change together."
"Covariance zero","Two random variables can have covariance zero but are not statistically independent."
